,Unnamed: 0,no,xmin,ymax,xmax,ymin,length,height,center_x,center_y,frame,second,frame_sec,second_acc,confidenceI
67,653,654,86,478.977,207.04,345,121,134,146.61685,412.04,199,7,24,7.96,0.98891
68,654,655,88,445.91,205.533,330,117,116,146.8806,387.8735,200,8,0,8.0,0.973904
69,655,656,106,421.142,215.006,313,109,108,160.3495,367.2195,202,8,2,8.08,0.809955
70,656,657,130,411.572,226.681,295,97,117,178.4245,353.257,203,8,3,8.12,0.960193
71,657,658,132,397.211,243.742,280,112,118,187.7605,338.4045,204,8,4,8.16,0.941272
72,658,659,183,283.811,255.536,174,72,110,219.424,228.863,204,8,4,8.16,0.727755
73,659,660,150,393.059,247.965,275,98,118,199.1125,333.9555,205,8,5,8.2,0.908944
74,660,661,191,278.587,263.46,168,73,111,226.9965,223.29,205,8,5,8.2,0.759786
75,661,662,162,372.028,256.764,246,95,126,209.42,309.1885,206,8,6,8.24,0.801497
76,662,663,201,276.95,272.707,165,72,112,236.693,220.8325,206,8,6,8.24,0.726617
77,663,664,181,369.534,269.51,232,89,137,225.1525,300.7915,207,8,7,8.28,0.951978
78,664,665,208,267.586,281.143,158,73,109,244.6605,212.8725,207,8,7,8.28,0.795598
79,665,666,213,261.457,285.419,154,72,107,249.251,207.7635,208,8,8,8.32,0.80418
80,666,667,217,254.682,290.288,158,73,96,253.738,206.4335,209,8,9,8.36,0.769554
81,667,668,227,252.756,298.755,152,72,101,262.797,202.2825,210,8,10,8.4,0.935477
82,668,669,215,350.162,304.098,222,89,128,259.7875,286.097,210,8,10,8.4,0.854738
83,669,670,233,340.816,316.277,205,83,135,274.559,273.1375,211,8,11,8.44,0.840288
84,670,671,227,246.643,306.702,143,80,103,266.616,195.04,211,8,11,8.44,0.765746
85,671,672,240,338.105,329.417,204,90,134,284.5695,271.204,212,8,12,8.48,0.827325
86,672,673,259,320.817,353.23,196,94,125,306.117,258.262,214,8,14,8.56,0.792871
87,673,674,274,312.372,361.658,178,88,134,317.7425,245.382,215,8,15,8.6,0.707046
88,674,675,70,404.917,131.639,319,62,86,100.7513,362.1505,312,12,12,12.48,0.866835
89,675,676,69,403.133,132.83,324,64,79,100.87265,363.6865,313,12,13,12.52,0.867192
90,676,677,0,332.088,40.6029,247,41,85,20.30145,289.749,317,12,17,12.68,0.775072
91,677,678,3,425.028,78.9288,321,76,104,41.10574,372.9145,318,12,18,12.72,0.728734
92,678,679,0,418.604,94.3309,317,94,102,47.16545,367.8145,319,12,19,12.76,0.747283
93,679,680,0,411.106,96.8552,308,97,103,48.4276,359.552,320,12,20,12.8,0.753566
94,680,681,3,312.703,60.3722,235,57,78,31.785535,273.6405,320,12,20,12.8,0.703965
95,681,682,5,308.029,65.3427,230,61,78,35.00755,269.118,321,12,21,12.84,0.923917
96,682,683,59,364.616,129.872,259,71,106,94.4762,311.5655,327,13,2,13.08,0.757366
97,683,684,73,235.826,129.42,161,57,74,101.1097,198.5815,334,13,9,13.36,0.92435
98,684,685,77,229.592,135.462,162,58,68,106.26155,195.819,335,13,10,13.4,0.94568
99,685,686,85,223.937,137.279,154,52,70,111.0591,188.9475,336,13,11,13.44,0.939005
100,686,687,87,225.527,145.404,154,58,71,116.22195,189.973,337,13,12,13.48,0.94125
101,687,688,91,222.294,148.536,154,58,69,119.67455,187.899,338,13,13,13.52,0.935814
102,688,689,93,219.076,150.94,150,58,69,121.91925,184.386,339,13,14,13.56,0.886038
103,689,690,120,280.409,200.392,180,81,100,160.097,230.2265,340,13,15,13.6,0.873773
104,690,691,98,212.15,153.425,145,55,67,125.9068,178.5165,340,13,15,13.6,0.734838
105,691,692,133,273.09,205.621,178,73,95,169.313,225.5325,341,13,16,13.64,0.949406
106,692,693,98,207.847,154.099,140,57,68,125.8166,173.819,341,13,16,13.64,0.756381
107,693,694,139,265.141,212.183,167,74,98,175.3655,215.971,342,13,17,13.68,0.932036
108,694,695,104,197.245,156.6,136,53,61,130.175,166.6705,342,13,17,13.68,0.910812
109,695,696,107,191.511,158.314,129,51,62,132.791,160.478,343,13,18,13.72,0.931866
110,696,697,144,258.061,217.54,161,73,97,180.8485,209.7055,343,13,18,13.72,0.907803
111,697,698,110,188.042,161.853,123,52,65,135.6955,155.3815,344,13,19,13.76,0.864299
112,698,699,155,248.139,223.83,155,69,93,189.276,201.7365,344,13,19,13.76,0.853878
113,699,700,161,247.005,231.113,154,70,93,196.178,200.3795,345,13,20,13.8,0.943692
114,700,701,111,193.793,170.209,125,60,69,140.4325,159.152,345,13,20,13.8,0.727376
115,701,702,169,237.76,237.304,149,68,89,203.348,193.4405,346,13,21,13.84,0.977572
116,702,703,175,237.999,243.606,145,68,93,209.55,191.6465,347,13,22,13.88,0.9387
117,703,704,121,181.749,174.4,113,53,68,147.9275,147.511,347,13,22,13.88,0.832553
118,704,705,185,227.299,251.338,140,66,88,218.1785,183.4065,348,13,23,13.92,0.978587
119,705,706,127,178.386,177.843,111,51,68,152.5475,144.459,348,13,23,13.92,0.846022
120,706,707,191,223.549,259.845,137,69,87,225.214,180.1705,349,13,24,13.96,0.987759
121,707,708,132,178.107,183.123,106,51,73,157.704,141.8505,349,13,24,13.96,0.933617
122,708,709,198,220.281,264.446,136,67,84,230.9875,178.2105,350,14,0,14.0,0.991446
123,709,710,136,177.612,188.939,105,53,73,162.2565,141.2295,350,14,0,14.0,0.869348
124,710,711,203,221.831,267.657,136,65,86,235.2775,178.666,351,14,1,14.04,0.969538
125,711,712,210,217.097,273.89,131,64,87,242.0055,173.833,352,14,2,14.08,0.984369
126,712,713,142,177.038,200.237,103,58,74,171.1835,140.016,352,14,2,14.08,0.933728
127,713,714,215,211.342,284.075,127,69,84,249.329,169.322,353,14,3,14.12,0.980926
128,714,715,150,172.833,203.978,100,54,73,176.765,136.467,353,14,3,14.12,0.959432
129,715,716,221,207.936,289.601,123,69,85,255.2875,165.3125,354,14,4,14.16,0.949036
130,716,717,154,174.106,208.81,95,54,80,181.564,134.3466,354,14,4,14.16,0.888905
131,717,718,229,209.355,290.854,123,62,86,259.688,166.3965,355,14,5,14.2,0.985981
132,718,719,158,173.485,214.172,91,57,83,185.9205,132.0859,355,14,5,14.2,0.777035
133,719,720,230,201.506,299.616,115,70,86,264.6095,158.26,356,14,6,14.24,0.979049
134,720,721,231,520.931,342.826,409,112,112,286.9955,465.1,363,14,13,14.52,0.832482
135,721,722,236,515.256,352.936,397,117,118,294.5865,456.244,364,14,14,14.56,0.775222
136,722,723,236,511.496,355.899,382,119,130,296.1545,446.729,365,14,15,14.6,0.798234
137,723,724,250,500.955,358.78,380,108,121,304.5435,440.6275,366,14,16,14.64,0.867095
138,724,725,257,491.499,363.628,366,107,126,310.36,428.546,367,14,17,14.68,0.973032
139,725,726,265,482.581,367.863,352,103,130,316.262,417.4275,368,14,18,14.72,0.978603
140,726,727,271,475.995,376.012,343,105,133,323.5735,409.4545,369,14,19,14.76,0.963454
141,727,728,276,462.153,376.615,339,101,123,326.2375,400.5265,370,14,20,14.8,0.909338
142,728,729,279,453.106,378.259,333,99,120,328.625,393.036,371,14,21,14.84,0.841449
143,729,730,284,445.375,380.124,323,96,122,331.9435,384.261,372,14,22,14.88,0.759948
144,730,731,68,408.732,131.579,323,64,85,99.70175,366.0545,373,14,23,14.92,0.715336
145,731,732,279,414.607,387.095,304,108,111,332.851,359.2455,376,15,1,15.04,0.742966
146,732,733,3,332.647,62.8781,248,60,85,32.813695,290.1605,379,15,4,15.16,0.837111
147,733,734,3,330.188,64.693,237,61,93,34.053625,283.8,380,15,5,15.2,0.828238
148,734,735,8,318.085,72.3245,230,64,88,40.256185,274.2105,381,15,6,15.24,0.861887
149,735,736,12,308.018,84.6523,228,72,80,48.40615,268.1445,382,15,7,15.28,0.778968
150,736,737,67,261.058,138.861,159,72,102,103.06545,210.0005,391,15,16,15.64,0.91592
151,737,738,79,249.164,142.839,161,64,88,110.984,205.1375,392,15,17,15.68,0.989257
152,738,739,82,249.211,150.484,158,69,91,116.09635,203.7,393,15,18,15.72,0.985785
153,739,740,89,243.43,156.421,150,67,93,122.79675,196.891,394,15,19,15.76,0.970796
154,740,741,95,240.091,161.738,151,67,89,128.1973,195.3495,395,15,20,15.8,0.97705
155,741,742,107,238.367,171.593,146,65,92,139.2075,192.1685,396,15,21,15.84,0.991971
156,742,743,114,232.2,180.312,144,66,88,147.3015,187.985,397,15,22,15.88,0.865017
157,743,744,63,408.354,131.601,329,68,79,97.3539,368.7475,397,15,22,15.88,0.713075
158,744,745,122,223.868,187.814,140,66,84,154.85,181.896,398,15,23,15.92,0.984716
159,745,746,70,403.628,130.753,319,60,84,100.61915,361.4705,398,15,23,15.92,0.701889
160,746,747,127,221.75,195.05,136,68,86,160.9345,178.8165,399,15,24,15.96,0.985063
161,747,748,133,222.177,205.48,130,73,92,169.191,176.307,400,16,0,16.0,0.912858
162,748,749,141,219.621,209.485,130,69,89,175.169,174.9955,401,16,1,16.04,0.974526
163,749,750,93,455.536,176.66,354,83,101,135.0709,404.945,401,16,1,16.04,0.875835
164,750,751,146,209.809,215.213,125,69,85,180.5495,167.2725,402,16,2,16.08,0.991676
165,751,752,151,204.246,220.104,119,69,85,185.644,161.525,403,16,3,16.12,0.984674
166,752,753,110,433.977,191.697,340,82,94,150.9335,387.223,403,16,3,16.12,0.738783
167,753,754,155,204.253,223.524,112,68,92,189.286,158.0335,404,16,4,16.16,0.937728
168,754,755,114,430.19,197.198,330,84,100,155.417,380.265,404,16,4,16.16,0.77558
169,755,756,162,197.562,225.548,111,64,87,193.7145,154.147,405,16,5,16.2,0.991573
170,756,757,168,192.926,230.668,107,62,86,199.5695,149.891,406,16,6,16.24,0.993844
171,757,758,132,404.922,214.704,306,83,99,173.4335,355.6515,406,16,6,16.24,0.863138
172,758,759,363,301.174,448.922,193,86,108,406.126,247.119,406,16,6,16.24,0.735113
173,759,760,176,185.774,236.22,101,60,84,206.2065,143.6315,407,16,7,16.28,0.982078
174,760,761,369,297.671,453.178,192,85,105,410.8465,245.0725,407,16,7,16.28,0.784677
175,761,762,178,184.002,241.132,101,63,83,209.416,142.3985,408,16,8,16.32,0.937273
176,762,763,372,293.786,456.428,191,85,103,414.137,242.332,408,16,8,16.32,0.84763
177,763,764,142,387.405,227.94,294,86,93,185.1685,340.933,408,16,8,16.32,0.809423
178,764,765,185,184.737,244.683,99,59,86,214.9685,141.96195,409,16,9,16.36,0.959363
179,765,766,379,291.635,458.479,190,79,102,418.9305,240.671,409,16,9,16.36,0.83391
180,766,767,157,368.554,242.205,275,85,94,199.5425,321.557,410,16,10,16.4,0.911503
181,767,768,383,290.596,461.271,186,78,104,422.109,238.4035,410,16,10,16.4,0.72573
182,768,769,162,364.015,246.274,268,84,96,204.1035,316.0395,411,16,11,16.44,0.832413
183,769,770,382,285.83,466.672,185,84,101,424.5325,235.443,413,16,13,16.52,0.765187
184,770,771,383,285.832,468.038,183,85,102,425.7195,234.649,414,16,14,16.56,0.774313
185,771,772,383,285.84,469.048,182,86,103,426.067,234.1125,415,16,15,16.6,0.817058
186,772,773,384,283.741,469.004,181,85,103,426.722,232.341,416,16,16,16.64,0.884848
187,773,774,386,281.91,469.308,179,83,103,427.577,230.383,417,16,17,16.68,0.906265
188,774,775,386,278.247,468.306,176,82,102,427.148,227.312,418,16,18,16.72,0.924503
189,775,776,387,275.829,466.476,176,80,100,426.6345,225.741,419,16,19,16.76,0.936164
190,776,777,387,274.229,466.282,175,79,100,426.561,224.4345,420,16,20,16.8,0.929882
191,777,778,387,272.484,465.673,172,79,101,426.381,222.198,421,16,21,16.84,0.912453
192,778,779,387,270.882,463.021,170,76,101,425.0985,220.23,422,16,22,16.88,0.884756
193,779,780,392,270.629,459.262,172,67,98,425.748,221.533,423,16,23,16.92,0.905985
194,780,781,243,286.06,317.481,191,74,95,280.4345,238.573,423,16,23,16.92,0.709644
195,781,782,392,269.458,457.103,172,65,97,424.6605,220.833,424,16,24,16.96,0.942086
196,782,783,250,281.988,325.097,183,76,99,287.342,232.3075,424,16,24,16.96,0.754379
